,address,unit,beds,baths,built,rent,rentdate,encumbered,status,registered,slug
0,5650 WINDSOR WAY,106,1,1.0,1970,<N/A>,<N/A>,NO,Rented,True,5650-windsor-way
0,3915 REDWOOD AVE,1/2,0,1.0,2014,<N/A>,<N/A>,NO,Rented,True,3915-redwood-ave
0,4135 CENTER ST,1,2,1.0,1950,<N/A>,<N/A>,NO,Rented,True,4135-center-st
0,8839 CEDAR AVE,2,1,1.0,0,<N/A>,<N/A>,NO,Rented,True,8839-cedar-ave
0,8839 CEDAR AVE,1,1,1.0,0,<N/A>,<N/A>,NO,Rented,True,8839-cedar-ave
0,10835 FARRAGUT DR,10835,5,2.0,0,<N/A>,<N/A>,NO,Vacant,True,10835-farragut-dr
0,6300 GREEN VALLEY CIR,6340-116,2,2.0,1968,<N/A>,<N/A>,NO,Vacant,True,6300-green-valley-cir
0,6300 GREEN VALLEY CIR,6410-136,2,2.0,1968,<N/A>,<N/A>,NO,Vacant,True,6300-green-valley-cir
0,9047 CARSON ST,1,3,2.0,1960,<N/A>,<N/A>,NO,Rented,True,9047-carson-st
0,9047 CARSON ST,3,0,1.0,2019,<N/A>,<N/A>,NO,Vacant,True,9047-carson-st
0,6300 GREEN VALLEY CIR,6410-132,2,2.0,1968,<N/A>,<N/A>,NO,Vacant,True,6300-green-valley-cir
0,6175 CANTERBURY DR,304,1,1.0,1968,<N/A>,<N/A>,NO,Vacant,True,6175-canterbury-dr
0,6300 GREEN VALLEY CIR,6430-319,0,1.0,1968,<N/A>,<N/A>,NO,Vacant,True,6300-green-valley-cir
0,6300 GREEN VALLEY CIR,6300-112,1,1.0,1968,<N/A>,<N/A>,NO,Vacant,True,6300-green-valley-cir
0,4062 LA SALLE AVE,4062-2,2,2.0,1987,<N/A>,<N/A>,NO,Vacant,True,4062-la-salle-ave
0,9041 KRUEGER ST,9041,2,1.0,1957,<N/A>,<N/A>,NO,Rented,True,9041-krueger-st
0,4062 LA SALLE AVE,4062-4,2,2.0,1987,<N/A>,<N/A>,NO,Vacant,True,4062-la-salle-ave
0,4055 JACKSON AVE,1,1,1.0,1926,<N/A>,<N/A>,NO,Rented,True,4055-jackson-ave
0,6300 GREEN VALLEY CIR,6220-112,2,2.0,1968,<N/A>,<N/A>,NO,Vacant,True,6300-green-valley-cir
0,6300 GREEN VALLEY CIR,6220-108,2,2.0,1968,<N/A>,<N/A>,NO,Vacant,True,6300-green-valley-cir
0,6300 GREEN VALLEY CIR,6430-317,0,1.0,1968,<N/A>,<N/A>,NO,Vacant,True,6300-green-valley-cir
0,3837 PROSPECT AVE,5,1,1.0,0,<N/A>,<N/A>,NO,Vacant,True,3837-prospect-ave
